ExecutedNumber,ExecutionTime,Throughput,LatencyAverage,LatencyMedian,Latency95Percent,Latency99Percent
8132,8090.254654,1.00516,983,370,1226,22802
25239,8520.017704,2.962318,322,43,671,3315
16038,9341.166058,1.7169163,571,278,872,11031
10224,8567.502219,1.1933466,826,335,1106,21458
13082,8161.305011,1.6029298,623,249,738,19241
5253,6221.383318,0.844346,1183,257,2858,24316
13121,8534.466697,1.537413,649,278,869,18248
11070,7674.37279,1.4424632,692,235,816,21717
6605,6972.791096,0.9472534,1055,278,1673,23622
10862,7832.086501,1.386859,720,273,822,21010
42208,8015.265753,5.2659516,189,20,367,840
46437,7682.977543,6.0441413,164,19,372,814
8762,7214.644783,1.2144742,822,298,1094,21930
14307,8196.419057,1.7455184,572,262,737,16430
7085,7215.839813,0.9818677,1017,288,1867,23235
11643,8056.359332,1.4451938,691,264,916,20302
70682,8906.533146,7.935972,125,35,266,582
67372,8656.774426,7.7825756,127,33,251,618
11034,7295.13066,1.5125157,660,212,767,21837
33805,7780.523404,4.3448234,229,31,406,1329